taxonomy_id	FMD_002	FMD_003	FMD_004	FMD_006	FMD_007	FMD_008	FMD_009	FMD_012	FMD_013	FMD_014	FMD_015	FMD_017	FMD_021	FMD_023	FMD_024	FMD_025	FMD_026	FMD_027	FMD_028	FMD_029	FMD_032	FMD_033	FMD_034	FMD_035	FMD_037	FMD_038	FMD_039_040	FMD_043_044	FMD_050	FMD_051	FMD_052	FMD_058	FMD_059	NC1	NC2	NC3	NC4
412690	495	2593	447	1406	623	1605	1617	1599	104	54	1397	60	314	19	940	2066	28	76	56	175	59	113	1124	420	205	554	917	216	148	237	141	923	194	46	17	0	23
621376	0	0	115	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	115	0	0	0	0	0
2735317	913	1296	229	467	272	1394	738	724	69	49	931	41	142	33	944	3056	30	30	29	174	20	36	598	180	98	203	699	62	76	75	59	224	85	0	0	40	0
2663857	1138	5645	1086	4287	2040	10418	5762	3273	386	130	8467	120	831	38	3815	4802	38	129	139	359	198	206	3654	865	617	1854	2558	760	328	2979	376	2386	441	148	0	72	27
480035	272	1190	251	1473	691	1451	1089	1433	82	35	1137	368	375	66	592	1731	33	35	81	170	84	201	765	347	340	371	647	184	117	295	111	1858	255	143	0	18	0
76760	165	724	235	583	2516	643	1006	2305	32	44	589	18	172	0	866	279	0	0	39	20	0	33	662	134	49	494	809	27	268	43	116	59	73	0	0	16	0
2094119	130	456	173	502	409	1257	585	717	47	23	625	66	200	21	376	1153	12	38	54	69	32	34	237	106	76	151	300	48	62	96	70	295	91	24	0	0	0
666	145	180	56	162	400	343	259	565	135	0	607	24	561	87	915	156	16	55	84	69	197	17	276	39	220	472	2903	62	63	40	66	66	34	34694	354	0	0
412963	21	178	64	159	65	205	137	119	19	0	109	0	19	0	111	110	0	11	0	23	49	14	91	60	39	48	45	19	24	27	13	27	14	0	0	0	0
1082704	20	93	44	44	22	38	46	55	0	0	59	0	14	0	29	50	0	0	0	0	0	0	106	11	24	30	34	0	29	0	0	0	10	13	0	0	0
227866	0	21	89	35	0	26	36	57	0	0	13	0	14	0	51	19	0	11	0	0	16	0	33	0	20	75	17	0	20	15	12	18	18	43	148	199	0
2714942	251	1436	411	1375	393	1331	1446	660	137	16	771	18	162	0	1096	770	0	59	32	43	25	25	683	172	160	459	310	176	128	89	77	163	38	45	0	0	0
2714944	337	1836	500	1700	484	1597	1837	928	136	41	848	45	207	10	1331	1122	0	52	37	46	51	41	920	249	211	549	483	173	184	129	123	232	81	104	25	0	12
2714943	346	1850	476	1805	444	2291	1871	884	141	32	872	26	179	14	1382	1064	11	95	37	105	43	60	1009	262	200	571	486	205	205	115	113	216	89	30	20	0	0
67304	385	1258	380	1312	623	1301	1279	1314	201	27	949	79	226	48	881	1337	23	76	73	121	169	136	834	533	224	589	629	191	148	284	162	1536	174	19	0	21	0
1664069	30	97	129	142	25	156	161	93	35	10	39	0	17	16	849	63	0	10	19	16	0	13	77	46	64	84	1172	22	55	14	69	21	17	57	0	0	0
198618	1832	255	123	257	230	205	567	2022	20	0	480	10	77	0	256	157	0	144	17	24	0	15	402	56	28	132	272	33	204	70	35	49	60	12	0	0	0
2285	0	10	12	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	18	0	0	0	0	12	0	0	15	0	0	0	10	0	0	0	0
2082188	452	2100	552	1727	1179	2256	1771	1297	133	68	1979	78	287	0	1174	2650	0	124	106	124	70	98	1345	318	257	884	943	162	288	262	189	318	153	68	0	13	0
2653200	188	787	251	767	276	660	731	935	68	27	576	51	169	33	527	818	13	98	44	138	72	105	536	266	141	297	351	85	111	113	108	604	137	43	0	13	0
2804761	33	132	56	167	158	256	102	193	0	0	252	0	27	0	100	103	0	0	0	11	0	0	346	24	0	38	56	0	28	26	14	41	0	0	0	15	0
2773454	0	25	16	22	13	19	42	18	0	0	21	0	11	0	22	35	0	0	0	18	67	14	30	23	0	34	22	0	25	12	37	42	18	0	0	0	0
1921086	0	36	0	27	18	29	45	24	0	0	17	0	0	0	0	31	0	0	0	0	14	0	22	0	10	20	12	0	0	0	11	0	10	0	0	0	0
379347	206	653	307	1053	300	1677	877	374	58	32	785	35	244	34	409	1056	0	52	59	123	33	17	362	196	91	384	324	51	191	216	120	115	68	41	0	0	0
1442136	18	103	27	91	25	81	111	103	0	0	148	0	25	0	60	92	0	0	0	13	37	0	89	36	20	32	52	14	12	17	15	98	28	0	0	0	0
1353889	126	673	139	528	853	841	487	721	84	19	408	46	141	204	318	600	0	82	24	154	147	94	488	150	107	282	219	55	59	67	57	699	72	16	0	38	0
2026188	0	164	0	158	0	311	189	201	0	0	386	0	0	0	1326	0	0	0	0	0	0	0	0	0	0	173	0	150	112	0	0	0	0	0	0	0	0
84595	1011	4374	796	3610	2242	10633	10159	7101	261	181	2879	984	2194	64	8274	2809	287	706	287	417	1137	187	3451	1569	679	3221	6701	1693	280	436	386	2415	3030	381	0	39	0
1920110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0
2686362	22	55	33	35	36	72	101	59	18	0	43	0	0	0	80	70	0	11	19	14	0	17	63	26	0	46	36	0	18	12	14	20	39	0	0	0	0
314281	18	44	40	28	17	39	77	79	0	0	110	0	14	0	28	47	0	13	0	0	0	19	21	21	0	39	18	0	20	11	21	0	38	0	0	0	0
2744517	112	510	147	519	185	865	382	436	45	0	774	31	136	46	281	509	0	19	23	45	126	19	259	95	80	180	141	42	51	45	69	107	29	0	0	0	0
351604	20	101	34	109	22	97	86	93	16	0	95	0	22	0	68	93	0	0	13	0	0	0	49	27	16	37	37	17	15	17	15	20	32	10	0	0	0
2518599	53	283	69	307	108	381	236	269	34	17	292	14	44	23	190	312	0	0	21	27	30	24	155	41	62	113	102	37	20	32	44	151	51	0	0	0	0
1006	15	83	44	40	43	50	71	37	12	0	55	0	24	0	53	75	0	0	0	18	0	22	55	32	20	41	42	13	16	15	38	23	24	0	0	0	0
33938	0	39	0	27	16	30	36	13	0	0	0	0	0	0	46	19	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1529068	1023	3195	1974	4632	713	11072	6300	1943	232	272	5101	162	1121	71	2435	8664	47	158	211	745	83	76	1624	885	446	3514	2030	187	1359	1623	502	783	212	117	0	25	0
1907575	143	771	179	547	269	812	694	705	53	13	689	77	220	25	420	1002	11	165	30	92	37	95	396	159	152	231	347	94	120	136	75	606	102	45	0	0	0
519472	14	63	25	43	19	30	44	20	0	0	17	0	15	0	47	45	0	0	0	0	0	0	76	12	0	38	19	10	18	0	11	19	0	12	0	0	0
1343	49	2540	280	241	431	563	371	358	82	55	878	0	122	0	2093	120	46	114	85	39	0	20	1283	98	1216	3647	426	46	384	184	423	27	91	14	26	0	0
2511995	43	268	52	334	65	258	174	201	31	0	619	24	36	0	139	299	0	14	12	29	11	13	151	35	69	63	82	21	16	23	20	23	32	21	0	11	0
617123	60	497	161	563	137	525	875	45	18	16	95	0	66	0	369	242	0	37	25	12	37	40	163	41	90	175	111	22	125	32	22	62	44	28	17	19	0
1916	1932	6814	1321	13013	2238	8903	8509	21906	0	0	10994	0	0	0	5421	8190	0	0	0	0	0	0	4462	3336	0	2611	7560	0	2542	1945	0	9574	0	0	0	0	0
1911	256	1050	287	863	428	1111	1376	1051	87	23	907	64	168	108	837	1309	0	46	70	92	168	88	1226	352	206	391	550	138	147	211	135	908	113	50	0	53	36
2614638	367	4479	312	1148	655	1553	1583	1565	99	52	1019	53	176	15	708	1429	27	62	28	75	53	51	846	254	184	435	820	169	89	108	104	493	143	39	0	41	18
211595	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
394958	48	223	153	306	49	245	245	108	64	0	84	20	40	49	1113	115	0	83	35	34	133	71	141	73	31	134	118	39	81	20	40	148	51	0	17	0	0
